customer_id,region,city,risk_score,risk_bucket,risk_drivers,churn,risk_bucket_lr,risk_score_lr
C00365,North,Hyderabad,93.49658229658229,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",1,High Risk,52.08088482768483
C01849,East,Chennai,91.54600615653247,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,50.658338753791384
C02046,North,Delhi,85.05885885885886,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,50.582721664521664
C04675,East,Chennai,94.85365666418298,High Risk,"Payment Delay, Service Tickets, Outages, High Usage, Low Tenure",0,High Risk,50.35584546049809
C01825,North,Noida,91.81066781066781,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,50.12891920491921
C02784,East,Gurgaon,89.83295325400587,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",1,High Risk,49.546047363152624
C01442,North,Pune,89.97452640610535,High Risk,"Payment Delay, Service Tickets, Outages, High Usage, Low Tenure",0,High Risk,49.386257531215435
C00896,South,Chennai,77.3111683111683,High Risk,"Payment Delay, Outages, High Usage",0,High Risk,49.03797611897612
C02690,East,Delhi,85.810868010868,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,48.922056256256255
C02666,West,Chennai,80.0023166023166,High Risk,"Payment Delay, Service Tickets, High Usage",1,High Risk,48.840218532818525
C03248,West,Chennai,76.22565422565421,High Risk,"Payment Delay, High Usage",0,High Risk,48.70374174174174
C00656,North,Patna,82.94508794508793,High Risk,"Payment Delay, Service Tickets, Outages, High Usage, Low Tenure",0,High Risk,48.40459244959245
C03489,East,Bangalore,87.83815544868176,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,48.39015213860477
C04834,North,Chennai,87.82556842556842,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,48.384772801372804
C02398,North,Gurgaon,93.32910052910051,High Risk,"Payment Delay, Service Tickets, Outages",0,High Risk,48.2797417989418
C03944,West,Hyderabad,77.80254841307473,High Risk,"Payment Delay, Outages, High Usage",0,High Risk,48.11547045692309
C04444,North,Gurgaon,76.72706992706992,High Risk,"Payment Delay, Outages, High Usage, Low Tenure",0,High Risk,48.104057829257826
C00996,North,Noida,85.6016302016302,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,48.013552724152724
C03149,South,Noida,69.61941941941942,High Risk,"Payment Delay, Outages, High Usage",0,High Risk,47.99189397969398
C00413,South,Pune,82.30193050193051,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.97238687258687
C03939,South,Patna,87.01009882062513,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",1,High Risk,47.887594352246985
C01606,East,Bangalore,81.56802516802516,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.88338441298441
C00522,South,Noida,81.07959387959386,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.76097749177748
C01914,North,Kolkata,90.84418704418704,High Risk,"Payment Delay, Service Tickets, Outages, High Usage, Low Tenure",1,High Risk,47.70609000429
C04998,West,Gurgaon,88.9027313027313,High Risk,"Payment Delay, Service Tickets, High Usage",1,High Risk,47.69153507793507
C04793,North,Gurgaon,88.20418162523424,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,47.61756745467272
C01170,East,Patna,86.80589762695024,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",1,High Risk,47.55211769062295
C02039,West,Hyderabad,81.87567567567567,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.49503397683397
C04782,South,Bangalore,87.24930644930645,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,47.493198684398685
C01952,South,Patna,82.66587489745385,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.484779853537745
C02532,East,Kolkata,89.11343072395702,High Risk,"Payment Delay, Service Tickets, Outages, High Usage, Low Tenure",0,High Risk,47.42031201276464
C02615,East,Gurgaon,89.4931788931789,High Risk,"Payment Delay, Service Tickets, High Usage",1,High Risk,47.38584066924067
C00739,West,Chennai,81.51663392716024,High Risk,"Payment Delay, Service Tickets, High Usage",0,High Risk,47.235761977014604
C00511,South,Mumbai,84.20889761942394,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",0,High Risk,47.21197204422467
C00403,East,Patna,86.32833434938698,High Risk,"Payment Delay, Service Tickets, Outages, High Usage",1,High Risk,47.12082416852943
