customer_id,region,city,monthly_usage_kwh,peak_usage_kwh,contract_type,tenure_months,avg_outage_hours,service_tickets,last_bill_amount,payment_delay_days,churn
C00001,North,Delhi,250,355,Fixed,33,6.43,4,3338,15,0
C00002,West,Patna,535,502,Fixed,20,3.78,5,3561,12,0
C00003,South,Patna,694,1218,Fixed,38,5.22,2,4789,6,0
C00004,North,Gurgaon,378,545,Variable,5,0.53,1,3502,13,0
C00005,West,Delhi,364,495,Variable,5,2.88,6,2721,1,0
C00006,West,Mumbai,346,784,Fixed,10,0.56,2,2215,7,0
C00007,West,Patna,822,799,Fixed,8,0.78,2,6422,3,0
C00008,West,Kolkata,893,724,Variable,1,6.48,2,5512,19,0
C00009,South,Delhi,584,1044,Variable,3,2.58,6,2086,16,0
C00010,West,Bangalore,525,1051,Variable,4,2.13,1,6151,12,0
C00011,South,Kolkata,780,618,Fixed,9,2.66,4,2859,5,0
C00012,East,Gurgaon,368,838,Fixed,43,1.08,2,5227,11,0
C00013,North,Bangalore,372,994,Fixed,7,5.1,0,5019,12,0
C00014,West,Bangalore,212,992,Variable,36,3.93,7,2028,15,0
C00015,East,Noida,205,427,Fixed,31,5.78,3,4634,16,1
C00016,North,Hyderabad,721,381,Variable,21,0.83,6,6461,19,0
C00017,North,Chennai,323,1192,Variable,43,2.28,2,5333,3,0
C00018,North,Bangalore,678,1045,Variable,27,6.03,3,3145,15,0
C00019,East,Hyderabad,479,979,Variable,43,1.4,0,1680,9,0
C00020,South,Pune,408,743,Fixed,43,3.1,5,1523,2,0
C00021,East,Kolkata,727,1237,Fixed,38,5.88,7,5546,13,1
C00022,West,Chennai,238,825,Variable,39,5.52,3,2829,19,0
C00023,West,Chennai,650,998,Fixed,37,4.44,7,4068,10,0
C00024,East,Patna,551,488,Variable,16,6.55,1,3836,17,0
C00025,North,Noida,810,1269,Fixed,3,5.08,6,2429,10,0
C00026,South,Kolkata,894,1121,Variable,22,6.67,0,3927,3,0
C00027,South,Kolkata,262,1201,Fixed,45,0.32,5,2157,11,0
C00028,South,Pune,424,1159,Fixed,13,1.53,4,3423,2,0
C00029,South,Patna,602,394,Variable,16,0.6,0,3953,17,1
C00030,North,Kolkata,611,901,Fixed,12,2.99,1,5652,12,1
C00031,South,Mumbai,759,399,Variable,22,4.51,5,4647,11,0
C00032,North,Mumbai,669,747,Fixed,2,1.08,1,3524,19,1
C00033,West,Noida,801,485,Variable,14,4.35,7,4220,11,1
C00034,North,Patna,419,924,Variable,18,4.79,2,2805,5,0
C00035,West,Delhi,249,974,Fixed,38,1.99,4,5904,11,0
C00036,South,Delhi,327,1267,Variable,38,3.7,5,3298,16,0
C00037,East,Pune,368,667,Variable,26,6.36,7,2747,0,0
C00038,West,Noida,718,1225,Variable,13,1.88,6,5419,18,0
C00039,West,Delhi,497,1115,Fixed,14,5.46,7,6117,3,0
C00040,North,Pune,429,984,Fixed,34,6.88,1,4405,0,1
C00041,East,Bangalore,331,790,Variable,4,5.17,1,5419,12,0
C00042,West,Delhi,329,712,Variable,37,0.76,0,3767,3,1
C00043,North,Patna,798,813,Fixed,38,0.13,5,5842,11,1
C00044,South,Noida,261,1062,Fixed,40,1.38,1,4286,0,1
C00045,West,Pune,382,428,Variable,35,4.38,6,3396,12,0
C00046,South,Delhi,645,1245,Variable,38,6.97,1,2206,13,1
C00047,West,Chennai,874,1076,Variable,11,2.86,4,1770,8,0
C00048,West,Pune,458,757,Fixed,35,6.49,7,2631,19,0
C00049,East,Chennai,435,599,Variable,30,0.6,2,4779,19,0
C00050,West,Bangalore,819,1232,Variable,34,0.5,0,5002,16,1
C00051,North,Bangalore,617,1032,Variable,29,5.73,5,3674,7,0
C00052,South,Delhi,584,521,Variable,47,4.67,4,5955,19,0
C00053,South,Gurgaon,831,588,Variable,30,6.7,6,1525,8,1
C00054,South,Chennai,521,668,Fixed,31,1.44,1,3112,0,0
C00055,West,Patna,457,931,Variable,39,3.44,3,4007,14,0
C00056,North,Patna,703,940,Variable,1,1.59,4,2076,8,0
C00057,West,Patna,732,359,Fixed,30,4.62,0,5827,10,0
C00058,East,Hyderabad,276,1269,Fixed,1,6.15,6,2111,7,1
C00059,North,Kolkata,402,342,Fixed,16,2.89,4,3568,2,0
C00060,West,Patna,238,300,Fixed,1,4.03,2,3588,2,0
C00061,West,Chennai,653,602,Fixed,39,0.54,6,2161,1,1
C00062,East,Kolkata,384,588,Fixed,16,4.47,0,2538,10,0
C00063,West,Mumbai,389,553,Fixed,7,5.75,3,6446,8,0
C00064,East,Delhi,557,1287,Fixed,7,6.38,0,2295,1,1
C00065,West,Patna,592,465,Fixed,9,3.83,0,1894,12,1
C00066,North,Mumbai,836,918,Variable,33,1.79,6,2668,15,1
C00067,East,Mumbai,455,424,Fixed,47,5.15,5,5259,14,0
C00068,North,Noida,301,1169,Fixed,39,4.3,0,2704,11,0
C00069,North,Bangalore,793,1219,Fixed,47,3.93,5,4104,3,1
C00070,North,Noida,634,788,Fixed,44,3.73,2,2957,4,1
C00071,South,Delhi,232,576,Fixed,35,6.45,4,2127,12,1
C00072,South,Mumbai,448,436,Variable,1,3.44,5,2844,14,0
C00073,East,Gurgaon,767,981,Fixed,36,6.14,2,3687,15,0
C00074,North,Delhi,455,698,Variable,21,1.83,4,4955,14,1
C00075,North,Chennai,215,748,Fixed,14,3.97,5,3499,11,1
C00076,South,Pune,433,892,Fixed,24,6.16,2,5581,15,0
C00077,West,Mumbai,556,1276,Variable,38,3.54,3,3386,7,0
C00078,North,Bangalore,804,735,Fixed,13,5.73,2,1781,12,0
C00079,South,Mumbai,598,571,Fixed,27,4.67,4,2939,0,1
C00080,East,Kolkata,729,695,Variable,31,6.34,1,4482,6,1
C00081,East,Noida,692,732,Variable,30,5.34,2,5365,0,0
C00082,West,Patna,247,1207,Fixed,24,2.23,2,4103,15,0
C00083,North,Gurgaon,858,1135,Variable,16,5.22,5,5359,6,0
C00084,South,Kolkata,288,654,Fixed,46,5.08,2,1777,2,0
C00085,South,Kolkata,862,868,Fixed,8,4.22,7,1987,3,0
